user,pro bjp ratio,pro congress ratio,anti bjp ratio,anti congress ratio,percent of hashtags used,number of annotated hashtags,not neutral,total hashtags
785746560034439168,0.8148148148148148,0.0,0.0,0.14814814814814814,0.4406779661016949,26,58,124
1029993924025188353,0.3333333333333333,0.0,0.5,0.0,0.23809523809523808,5,20,50
713182049020936194,0.9818181818181818,0.0,0.0,0.00909090909090909,0.3732876712328767,109,291,486
808586654860443651,0.7083333333333334,0.0,0.25,0.0,0.36507936507936506,23,62,109
1127809028,0.8076923076923077,0.0,0.0,0.15384615384615385,0.373134328358209,25,66,177
851636768696696837,0.8924731182795699,0.0,0.0,0.0967741935483871,0.5859872611464968,92,156,289
1110776046381498374,0.9622641509433962,0.0,0.0,0.018867924528301886,0.3880597014925373,52,133,295
913667639515348993,0.10714285714285714,0.0,0.875,0.0,0.20599250936329588,55,266,422
64356360,0.6666666666666666,0.0,0.0,0.0,0.06666666666666667,2,29,53
2750085804,0.0,0.0,0.8333333333333334,0.0,0.2,5,24,62
2480177162,0.14473684210526316,0.0,0.8421052631578947,0.0,0.13966480446927373,75,536,975
897034229220900866,0.8636363636363636,0.0,0.0,0.09090909090909091,0.4772727272727273,21,43,89
215550637,0.14285714285714285,0.0,0.7142857142857143,0.0,0.2608695652173913,6,22,51
909549584,0.0,0.0,0.0,0.0,0.0,0,18,102
916530170420490241,0.5,0.0,0.25,0.0,0.04918032786885246,3,60,154
892059666,0.8,0.0,0.1,0.0,0.04838709677419355,9,185,344
1116609309847068675,0.6666666666666666,0.0,0.26666666666666666,0.0,0.35,14,39,76
630767636,0.0,0.0,0.8571428571428571,0.0,0.09375,6,63,114
973596567369261056,0.4,0.0,0.4,0.0,0.09302325581395349,4,42,133
1378843070,0.9523809523809523,0.0,0.0,0.03571428571428571,0.5220125786163522,83,158,315
167755800,0.95625,0.0,0.00625,0.03125,0.16459627329192547,159,965,1279
858325356297584644,0.983739837398374,0.0,0.0,0.012195121951219513,0.6109725685785536,245,400,694
996377237615136769,0.25,0.0,0.5,0.0,0.057692307692307696,3,51,98
2587385886,0.25806451612903225,0.0,0.7096774193548387,0.0,0.09803921568627451,30,305,715
940079792937828357,0.9629629629629629,0.0,0.0,0.0,0.6666666666666666,26,38,73
137650208,0.7419354838709677,0.0,0.010752688172043012,0.23655913978494625,0.23711340206185566,92,387,661
26561200,0.0,0.0,0.5,0.0,0.015151515151515152,1,65,180
